user_id,difference,reliability_score,rank
IDUS127802,0.375,0.7272727272727273,1.0
IDUS125517,0.625,0.6153846153846154,2.0
IDUS129270,0.625,0.6153846153846154,2.0
IDUS103554,0.625,0.6153846153846154,2.0
IDUS104666,0.75,0.5714285714285714,3.0
IDUS126773,0.75,0.5714285714285714,3.0
IDUS137441,0.75,0.5714285714285714,3.0
IDUS140583,0.75,0.5714285714285714,3.0
IDUS133993,0.75,0.5714285714285714,3.0
IDUS118210,0.875,0.5333333333333333,4.0
IDUS126154,0.875,0.5333333333333333,4.0
IDUS128906,0.875,0.5333333333333333,4.0
IDUS118500,1.0,0.5,5.0
IDUS113075,1.0,0.5,5.0
IDUS112849,1.0,0.5,5.0
IDUS123988,1.0,0.5,5.0
IDUS121893,1.0,0.5,5.0
IDUS116159,1.0,0.5,5.0
IDUS108274,1.0,0.5,5.0
IDUS113762,1.0,0.5,5.0
IDUS111996,1.0,0.5,5.0
IDUS124403,1.0,0.5,5.0
IDUS121853,1.0,0.5,5.0
IDUS113299,1.125,0.47058823529411764,6.0
IDUS112141,1.125,0.47058823529411764,6.0
IDUS105157,1.125,0.47058823529411764,6.0
IDUS107320,1.125,0.47058823529411764,6.0
IDUS118348,1.125,0.47058823529411764,6.0
IDUS119358,1.125,0.47058823529411764,6.0
IDUS126174,1.125,0.47058823529411764,6.0
IDUS115524,1.125,0.47058823529411764,6.0
IDUS125849,1.25,0.4444444444444444,7.0
IDUS121718,1.25,0.4444444444444444,7.0
IDUS126112,1.25,0.4444444444444444,7.0
IDUS140555,1.25,0.4444444444444444,7.0
IDUS109531,1.25,0.4444444444444444,7.0
IDUS115630,1.25,0.4444444444444444,7.0
IDUS114516,1.25,0.4444444444444444,7.0
IDUS112031,1.25,0.4444444444444444,7.0
IDUS112590,1.25,0.4444444444444444,7.0
IDUS110358,1.25,0.4444444444444444,7.0
IDUS110884,1.375,0.42105263157894735,8.0
IDUS111066,1.375,0.42105263157894735,8.0
IDUS126130,1.375,0.42105263157894735,8.0
IDUS104578,1.375,0.42105263157894735,8.0
IDUS111169,1.5,0.4,9.0
IDUS114452,1.5,0.4,9.0
IDUS104915,1.625,0.38095238095238093,10.0
IDUS105345,1.625,0.38095238095238093,10.0
IDUS121978,1.625,0.38095238095238093,10.0
IDUS115505,1.625,0.38095238095238093,10.0
IDUS108712,1.625,0.38095238095238093,10.0
IDUS130394,1.625,0.38095238095238093,10.0
IDUS126143,1.625,0.38095238095238093,10.0
IDUS140390,1.625,0.38095238095238093,10.0
IDUS115659,1.625,0.38095238095238093,10.0
IDUS126876,1.625,0.38095238095238093,10.0
IDUS105307,1.75,0.36363636363636365,11.0
IDUS126791,1.75,0.36363636363636365,11.0
IDUS126169,1.75,0.36363636363636365,11.0
IDUS113690,1.75,0.36363636363636365,11.0
IDUS112093,1.75,0.36363636363636365,11.0
IDUS113795,1.75,0.36363636363636365,11.0
IDUS113581,1.75,0.36363636363636365,11.0
IDUS108736,1.75,0.36363636363636365,11.0
IDUS115441,1.875,0.34782608695652173,12.0
IDUS121233,1.875,0.34782608695652173,12.0
IDUS109286,1.875,0.34782608695652173,12.0
IDUS122178,1.875,0.34782608695652173,12.0
IDUS112910,1.875,0.34782608695652173,12.0
IDUS131200,2.0,0.3333333333333333,13.0
IDUS132872,2.0,0.3333333333333333,13.0
IDUS130050,2.0,0.3333333333333333,13.0
IDUS126772,2.0,0.3333333333333333,13.0
IDUS122148,2.0,0.3333333333333333,13.0
IDUS131162,2.0,0.3333333333333333,13.0
IDUS132960,2.0,0.3333333333333333,13.0
IDUS133707,2.125,0.32,14.0
IDUS130041,2.125,0.32,14.0
IDUS108306,2.125,0.32,14.0
IDUS109590,2.125,0.32,14.0
IDUS106240,2.125,0.32,14.0
IDUS116369,2.125,0.32,14.0
IDUS117263,2.125,0.32,14.0
IDUS126058,2.125,0.32,14.0
IDUS126726,2.125,0.32,14.0
IDUS126664,2.125,0.32,14.0
IDUS110347,2.25,0.3076923076923077,15.0
IDUS113895,2.25,0.3076923076923077,15.0
IDUS131206,2.25,0.3076923076923077,15.0
IDUS116154,2.25,0.3076923076923077,15.0
IDUS122448,2.375,0.2962962962962963,16.0
IDUS127768,2.375,0.2962962962962963,16.0
IDUS110514,2.375,0.2962962962962963,16.0
IDUS110077,2.375,0.2962962962962963,16.0
IDUS127530,2.5,0.2857142857142857,17.0
IDUS106103,2.5,0.2857142857142857,17.0
IDUS110288,2.5,0.2857142857142857,17.0
IDUS111151,2.5,0.2857142857142857,17.0
IDUS109452,2.5,0.2857142857142857,17.0
IDUS103826,2.5,0.2857142857142857,17.0
IDUS124201,2.5,0.2857142857142857,17.0
IDUS125536,2.5,0.2857142857142857,17.0
IDUS104462,2.625,0.27586206896551724,18.0
IDUS127809,2.625,0.27586206896551724,18.0
IDUS130532,2.625,0.27586206896551724,18.0
IDUS110348,2.625,0.27586206896551724,18.0
IDUS111006,2.625,0.27586206896551724,18.0
IDUS104424,2.75,0.26666666666666666,19.0
IDUS110757,2.75,0.26666666666666666,19.0
IDUS114931,2.75,0.26666666666666666,19.0
IDUS110181,2.875,0.25806451612903225,20.0
IDUS116165,2.875,0.25806451612903225,20.0
IDUS115645,2.875,0.25806451612903225,20.0
IDUS137909,2.875,0.25806451612903225,20.0
IDUS103408,3.125,0.24242424242424243,21.0
IDUS106278,3.375,0.22857142857142856,22.0
